;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
118;Tick;119;lvmh;4.52;4.51;4.5;9443;2.635942957921436;9741435;22.051753596519507;13.421286549567036
119;Tick;120;lvmh;4.52;4.51;4.5;48175;2.7012701649782604;9789610;22.006287001376023;12.785687428884724
120;Tick;121;lvmh;4.52;4.51;4.5;78020;2.76277585413078;9867630;22.00549539884298;13.928766269943038
121;Tick;122;lvmh;4.44;4.43;4.28;325524;2.820795191012966;10193154;21.426634785459424;14.710557540441743
122;Tick;123;lvmh;4.37;4.36;4.2;73069;2.9601761958859143;10266223;21.386081648752775;14.091307260663655
123;Tick;124;lvmh;4.29;4.28;4.2;29492;3.1252694747201377;10295715;21.66701901761562;12.368091472427974
124;Tick;125;lvmh;4.27;4.26;4.18;10995;3.2769525223485805;10306710;21.66754985446584;11.208248918471373
125;Tick;126;lvmh;4.23;4.22;4.18;21729;3.4257809055605453;10328439;21.84263102834679;10.008849281639776
126;Tick;127;lvmh;4.24;4.23;4.18;27102;3.563776046265605;10355541;21.82201151690185;9.073050042728168
127;Tick;128;lvmh;4.24;4.23;4.21;1188;3.692313509524675;10356729;21.821656050955415;8.510793460400413
128;Tick;129;lvmh;4.78;4.77;4.56;6000;3.801539472661663;10362729;21.887571859148718;8.29094921867695
129;Tick;130;lvmh;4.79;4.78;4.72;572;3.8142511228165064;10363301;21.88713153677649;10.359415130220922
130;Tick;131;lvmh;4.5;4.49;4.18;19797;3.806280294980841;10383098;21.85483298370179;12.672484668756862
131;Tick;132;lvmh;4.64;4.63;4.18;34957;3.916307391142105;10418055;22.264682510762064;12.121555272022706
132;Tick;133;lvmh;4.55;4.54;4.18;21874;4.0199171034226575;10439929;22.270277006133348;12.325402233829438
133;Tick;134;lvmh;4.48;4.47;4.18;25349;4.117708861760507;10465278;22.20753850427785;11.858826803745469
134;Tick;135;lvmh;4.35;4.34;4.18;31061;4.210196023404756;10496339;22.21040701643919;11.766594316576796
135;Tick;136;lvmh;4.22;4.21;4.18;90571;4.297822565668589;10586910;22.261366003775848;11.902826020697962
136;Tick;137;lvmh;4.2;4.19;4.18;15939;4.380975786889938;10602849;22.241671872070878;11.818035523169742
137;Tick;138;lvmh;4.2;4.19;4.18;17911;4.459996129902609;10620760;22.38937201574815;11.988791798041845
138;Tick;139;lvmh;4.19;4.18;4.05;163533;4.535184891420116;10784293;22.185296717866247;12.142677664565246
139;Tick;140;lvmh;4.01;4.0;3.81;216761;4.644370719107035;11001054;21.771485820681658;12.591499933885682
140;Tick;141;lvmh;3.85;3.84;3.84;118500;4.830735580500688;11119554;21.489609763436476;11.411002799022116
141;Tick;142;lvmh;3.85;3.84;3.84;91562;4.994029359156952;11211116;21.66819686363883;10.385042347497695
142;Tick;143;lvmh;3.85;3.84;3.84;33000;5.147536206584862;11244116;22.005143173359663;9.713560939503198
143;Tick;144;lvmh;3.85;3.84;3.84;15500;5.29225145476432;11259616;21.968196195675723;9.354265360346345
144;Tick;145;lvmh;3.85;3.84;3.84;83000;5.42901296905633;11342616;22.866243818296088;9.03666290955702
145;Tick;146;lvmh;3.85;3.84;3.84;81628;5.558534606636904;11424244;22.67674862445298;8.973761998081223
146;Tick;147;lvmh;3.85;3.84;3.84;70634;5.681430970657878;11494878;22.52738028350973;8.396019411068083
147;Tick;148;lvmh;3.85;3.84;3.84;28000;5.798236088577917;11522878;22.46034503299174;8.056464095686456
148;Tick;149;lvmh;3.85;3.84;3.84;90127;5.909417751784342;11613005;22.261758385054783;7.675249378844902
149;Tick;150;lvmh;3.85;3.84;3.83;123632;6.015388694236932;11736637;22.272046789230725;7.651431266798331
150;Tick;151;lvmh;3.85;3.84;3.84;63952;6.119118147926008;11800589;22.13831784600162;8.62840057979544
151;Tick;152;lvmh;3.85;3.84;3.84;2860;6.21565373302908;11803449;22.14788096545208;9.136218415137462
152;Tick;153;lvmh;3.85;3.84;3.84;31500;6.307970957049566;11834949;22.075918448602824;9.418877246880415
153;Tick;154;lvmh;3.85;3.84;3.84;6852;6.396334519647774;11841801;22.06722180250816;10.196661532610154
154;Tick;155;lvmh;3.85;3.84;3.84;50500;6.480984268106153;11892301;22.376499285126116;11.071732276933197
155;Tick;156;lvmh;3.85;3.84;3.84;64000;6.562138390779354;11956301;22.23009512157172;12.838585845232705
156;Tick;157;lvmh;3.85;3.84;3.83;174024;6.63999609355421;12130325;22.17783560057963;14.211721251504015
157;Tick;158;lvmh;3.83;3.82;3.81;133891;6.716903854224939;12264216;21.94079314009611;16.013648947211102
158;Tick;159;lvmh;3.82;3.81;3.8;171300;6.7950608428785495;12435516;22.035580899608775;17.872878216887436
159;Tick;160;lvmh;3.82;3.81;3.8;18921;6.87226630280094;12454437;22.003369228076092;19.566786656759838
160;Tick;161;lvmh;3.82;3.81;3.8;208198;6.946454251390896;12662635;21.648014490201543;20.69707822184977
161;Tick;162;lvmh;3.83;3.82;3.78;110182;7.017782559305286;12772817;21.63150050551168;20.403852190085388
162;Tick;163;lvmh;3.83;3.82;3.81;1238;7.090444503081904;12774055;21.631706985204396;20.67013515423516
163;Tick;164;lvmh;3.81;3.8;3.78;14602;7.154446958202986;12788657;21.625982037978872;21.101483106839414
164;Tick;165;lvmh;3.79;3.78;3.75;73263;7.221865082414099;12861920;21.55972818916936;21.962900004567594
165;Tick;166;lvmh;3.78;3.77;3.71;56065;7.292637780291209;12917985;21.53824239390159;22.400288889861244
166;Tick;167;lvmh;3.76;3.75;3.7;65196;7.368709991364721;12983181;21.56353260966759;22.70288241902412
167;Tick;168;lvmh;3.73;3.72;3.7;21248;7.443939370075332;13004429;21.53489092360386;22.740977399048138
168;Tick;169;lvmh;3.73;3.72;3.7;1587;7.516393883864375;13006016;21.532685440138685;22.856996417659364
169;Tick;170;lvmh;3.73;3.72;3.7;2555;7.586208661011641;13008571;21.52817021343382;23.163016521545032
170;Tick;171;lvmh;3.72;3.71;3.7;2959;7.653509307487975;13011530;21.524558803778568;23.44794019184312
171;Tick;172;lvmh;3.72;3.71;3.7;18229;7.718412822472509;13029759;21.48803120295515;23.651520952641416
172;Tick;173;lvmh;3.72;3.71;3.7;22921;7.781028401951509;13052680;21.47840790048745;24.192995330801537
173;Tick;174;lvmh;3.72;3.71;3.71;1261;7.841458146867101;13053941;21.478837981822945;24.69504403293045
174;Tick;175;lvmh;3.72;3.71;3.7;14138;7.898073913099002;13068079;21.46910736175676;25.147352499707328
175;Tick;176;lvmh;3.72;3.71;3.7;6845;7.954444797684425;13074924;21.47063282897876;25.343193667505993
176;Tick;177;lvmh;3.7;3.69;3.64;81408;8.008898323966681;13156332;21.465234823783838;25.593743438793066
177;Tick;178;lvmh;3.66;3.65;3.64;7174;8.071676440164063;13163506;21.453738819267397;25.685230535071714
178;Tick;179;lvmh;3.67;3.66;3.64;25353;8.132325092330671;13188859;21.42147595002342;25.833908950009054
179;Tick;180;lvmh;3.66;3.65;3.64;16567;8.190934727673785;13205426;21.41801739278827;25.832882880002195
180;Tick;181;lvmh;3.66;3.65;3.64;79464;8.247590364199864;13284890;21.301528238426087;26.01835400889169
181;Tick;182;lvmh;3.66;3.65;3.64;25464;8.302372032304943;13310354;21.290898139314063;26.193614756254036
182;Tick;183;lvmh;3.59;3.58;3.55;61956;8.355355170590515;13372310;21.27029044703916;26.35948703847897
183;Tick;184;lvmh;3.56;3.55;3.45;24895;8.421387703466616;13397205;21.226710114697156;26.398808559589295
184;Tick;185;lvmh;3.55;3.54;3.45;29866;8.502882291913455;13427071;21.201645632886876;26.272142929143
185;Tick;186;lvmh;3.52;3.51;3.45;50155;8.58162312800809;13477226;21.648118881534845;26.206494568292467
186;Tick;187;lvmh;3.51;3.5;3.45;34712;8.657734777261831;13511938;21.590525110241412;26.24395399488108
187;Tick;188;lvmh;3.52;3.51;3.4;41162;8.731333584582472;13553100;21.607042299521687;26.101260405805814
188;Tick;189;lvmh;3.44;3.43;3.31;95482;8.811247169769306;13648582;21.57472821439566;25.872799498997605
189;Tick;190;lvmh;3.28;3.27;3.18;172085;8.904860571561004;13820667;21.390440182477388;25.53739522377109
190;Tick;191;lvmh;3.25;3.24;3.15;62381;9.02050241601715;13883048;21.283212663520576;25.0468636908531
191;Tick;192;lvmh;3.22;3.21;3.15;11199;9.138085821893377;13894247;21.271777406441323;24.503429747165704
192;Tick;193;lvmh;3.16;3.15;3.14;60195;9.251531829201934;13954442;21.191358254677386;23.959558437199302
193;Tick;194;lvmh;3.17;3.16;3.14;9359;9.36299968171118;13963801;21.1913950453155;23.416517028067425
194;Tick;195;lvmh;3.11;3.1;3.06;160344;9.47065631742285;14124145;20.981314214987172;22.93351388677776
195;Tick;196;lvmh;3.12;3.11;3.06;15363;9.590081050745775;14139508;21.112834407040822;22.356912821681213
196;Tick;197;lvmh;3.1;3.09;3.03;104243;9.705402048718186;14243751;20.99011293712201;21.816007205499222
197;Tick;198;lvmh;3.09;3.08;3.03;31157;9.822560382540933;14274908;20.948838099934463;21.245226812735584
198;Tick;199;lvmh;3.06;3.05;3.05;144309;9.935769058486205;14419217;20.900232439545345;20.717339418243416
199;Tick;200;lvmh;3.04;3.03;3.01;226172;10.041545162336641;14645389;20.851080930362745;20.191916568043787
200;Tick;201;lvmh;3.05;3.04;3.01;67695;10.151145146183973;14713084;20.758529625354402;19.663697817641268
201;Tick;202;lvmh;3.04;3.03;3.01;14967;10.257183219675372;14728051;20.757481641285928;19.208416083495422
202;Tick;203;lvmh;3.03;3.02;3.02;120;10.359823302554664;14728171;20.75814870265209;18.731050333801157
203;Tick;204;lvmh;3.03;3.02;3.01;161359;10.457492448012994;14889530;20.55889597276854;18.27055214173337
204;Tick;205;lvmh;3.03;3.02;3.01;350751;10.553816728642547;15240281;20.557441318323523;17.822818232197612
205;Tick;206;lvmh;3.03;3.02;3.01;94373;10.64716986215816;15334654;20.55536119861541;17.40033647489016
206;Tick;207;lvmh;3.04;3.03;3.0;10522;10.737676605627822;15345176;20.550094922782048;16.986250233895415
207;Tick;208;lvmh;3.04;3.03;3.0;10287;10.827068344641736;15355463;20.5671549796738;16.582856974718894
208;Tick;209;lvmh;3.04;3.03;3.04;520000;10.913784491920447;15875463;19.77618840354352;16.202040160682152
209;Tick;210;lvmh;3.04;3.03;3.05;196508;10.991761709083198;16071971;19.87202340641224;15.845082017900143
210;Tick;211;lvmh;3.02;3.01;3.0;33413;11.065984234229962;16105384;20.120892213293818;15.504460625378217
211;Tick;212;lvmh;3.02;3.01;3.0;384080;11.145515085550322;16489464;20.080299847852075;15.154642145069776
212;Tick;213;lvmh;3.02;3.01;3.0;91540;11.22275370385928;16581004;19.95301136171268;14.816848719198841
213;Tick;214;lvmh;3.02;3.01;3.0;50040;11.297785091988782;16631044;19.88670084364519;14.490463176173904
214;Tick;215;lvmh;3.03;3.02;3.0;104864;11.370689728312318;16735908;19.81332900544439;14.174910403270298
215;Tick;216;lvmh;3.02;3.01;3.0;68602;11.441543895833211;16804510;19.755758118098655;13.958418600352587
